"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1997","1,197.01","1,258.59","1,276.25","1,197.01","","-5.60%"
"07/01/1997","1,268.05","1,182.57","1,268.05","1,182.57","","7.96%"
"06/01/1997","1,174.59","1,121.69","1,192.24","1,113.69","","4.48%"
"05/01/1997","1,124.22","1,056.13","1,125.72","1,056.13","","6.09%"
"04/01/1997","1,059.70","1,003.33","1,059.70","974.94","","5.97%"
"03/01/1997","1,000.02","1,048.78","1,073.64","1,000.02","","-4.11%"
"02/01/1997","1,042.85","1,035.59","1,075.82","1,024.72","","0.78%"
"01/01/1997","1,034.74","969.05","1,034.74","969.05","","6.25%"
"12/01/1996","973.90","993.00","994.85","947.23","","-1.98%"
"11/01/1996","993.58","921.91","993.58","921.91","","7.56%"
"10/01/1996","923.76","901.29","930.55","901.29","","2.76%"
"09/01/1996","898.97","854.63","898.97","848.15","","5.63%"
"08/01/1996","851.06","846.77","875.01","846.77","","2.11%"
"07/01/1996","833.48","878.97","878.97","815.77","","-4.42%"
